ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
8111,2012,2,1/2/2012,19805,AA,533,11298,DFW,Dallas/Fort Worth,TX,SAN,San Diego,CA,2242,111,111,111,1171,America/Chicago,1.32557E+12,America/Los_Angeles,1.3255E+12,FALSE
494244,2012,2,1/2/2012,19805,AA,533,11298,DFW,Dallas/Fort Worth,TX,SAN,San Diego,CA,2242,111,111,111,1171,America/Chicago,1.32557E+12,America/Los_Angeles,1.3255E+12,FALSE
980377,2012,2,1/2/2012,19805,AA,533,11298,DFW,Dallas/Fort Worth,TX,SAN,San Diego,CA,2242,111,111,111,1171,America/Chicago,1.32557E+12,America/Los_Angeles,1.3255E+12,FALSE
51541,2012,22,1/22/2012,19930,AS,683,13930,ORD,Chicago,IL,PDX,Portland,OR,2238,218,111,111,1739,America/Chicago,1.32729E+12,America/Los_Angeles,1.32723E+12,FALSE
134953,2012,25,1/25/2012,20366,EV,4268,11057,CLT,Charlotte,NC,IAH,Houston,TX,2238,125,111,111,912,America/New_York,1.32755E+12,America/Chicago,1.32748E+12,FALSE
537674,2012,22,1/22/2012,19930,AS,683,13930,ORD,Chicago,IL,PDX,Portland,OR,2238,218,111,111,1739,America/Chicago,1.32729E+12,America/Los_Angeles,1.32723E+12,FALSE
621086,2012,25,1/25/2012,20366,EV,4268,11057,CLT,Charlotte,NC,IAH,Houston,TX,2238,125,111,111,912,America/New_York,1.32755E+12,America/Chicago,1.32748E+12,FALSE
1023807,2012,22,1/22/2012,19930,AS,683,13930,ORD,Chicago,IL,PDX,Portland,OR,2238,218,111,111,1739,America/Chicago,1.32729E+12,America/Los_Angeles,1.32723E+12,FALSE
258164,2012,2,1/2/2012,20304,OO,6451,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2235,111,111,111,134,America/Los_Angeles,1.32557E+12,America/Los_Angeles,1.3255E+12,TRUE
744297,2012,2,1/2/2012,20304,OO,6451,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2235,111,111,111,134,America/Los_Angeles,1.32557E+12,America/Los_Angeles,1.3255E+12,TRUE
